admin1_name,season_yr,season_num,DER.sos,DER.eos,season_length_days,total_rain_mm
Bomet,2000,3,2000-09-25 00:00:00,2000-11-17 00:00:00,53,0.0
Bomet,2001,1,2000-11-17 00:00:00,2001-08-17 00:00:00,273,22407.200000000004
Bomet,2001,3,2001-10-08 12:00:00,2001-12-30 00:00:00,82,2281.7000000000003
Bomet,2002,1,2002-03-02 00:00:00,2002-07-24 00:00:00,144,13469.800000000001
Bomet,2002,3,2002-10-21 00:00:00,2003-02-04 00:00:00,106,6462.800000000001
Bomet,2003,1,2003-04-08 00:00:00,2003-08-27 00:00:00,141,7688.4
Bomet,2003,3,2003-09-14 12:00:00,2003-12-21 12:00:00,98,1313.6000000000004
Bomet,2004,1,2004-03-07 00:00:00,2004-06-21 00:00:00,106,8201.599999999999
Bomet,2004,2,2004-09-28 00:00:00,2005-02-08 00:00:00,133,7862.400000000001
Bomet,2005,1,2005-03-06 00:00:00,2005-09-23 00:00:00,201,10670.400000000001
Bomet,2005,2,2005-10-27 00:00:00,2006-01-02 00:00:00,67,270.8999999999999
Bomet,2006,1,2006-03-14 00:00:00,2006-07-15 00:00:00,123,6798.9000000000015
Bomet,2006,2,2006-11-01 00:00:00,2006-11-13 00:00:00,12,0.0
Bomet,2007,1,2006-11-13 00:00:00,2007-09-17 00:00:00,308,10519.099999999995
Bomet,2007,3,2007-10-11 00:00:00,2008-01-27 00:00:00,108,1102.1
Bomet,2008,1,2008-03-13 12:00:00,2008-07-11 12:00:00,120,2871.9999999999995
Bomet,2008,2,2008-08-27 00:00:00,2008-12-11 00:00:00,106,2473.6000000000004
Bomet,2009,1,2009-03-19 00:00:00,2009-07-06 00:00:00,109,7409.300000000002
Bomet,2009,2,2009-09-04 00:00:00,2009-11-17 00:00:00,74,248.10000000000005
Bomet,2010,1,2009-12-15 00:00:00,2010-07-04 00:00:00,201,28670.199999999997
Bomet,2010,2,2010-09-20 00:00:00,2011-01-14 00:00:00,116,4861.5
Bomet,2011,1,2011-03-24 00:00:00,2011-08-13 00:00:00,142,9194.8
Bomet,2011,3,2011-09-26 00:00:00,2012-01-13 12:00:00,109,15520.700000000003
Bomet,2012,1,2012-03-27 00:00:00,2012-08-28 00:00:00,154,13012.300000000001
Bomet,2012,2,2012-10-04 00:00:00,2013-01-15 00:00:00,103,1614.0000000000005
Bomet,2013,1,2013-03-09 00:00:00,2013-06-07 00:00:00,90,6831.200000000001
Bomet,2013,2,2013-09-05 00:00:00,2014-01-17 00:00:00,134,3897.9000000000005
Bomet,2014,1,2014-04-02 12:00:00,2014-06-27 12:00:00,86,2373.5
Bomet,2014,2,2014-09-26 00:00:00,2015-01-18 00:00:00,114,3399.7999999999997
Bomet,2015,1,2015-04-12 00:00:00,2015-09-11 00:00:00,152,11831.3
Bomet,2015,2,2015-10-31 00:00:00,2016-02-07 00:00:00,99,5073.799999999999
Bomet,2016,1,2016-04-26 00:00:00,2016-07-27 00:00:00,92,3994.9999999999995
Bomet,2016,3,2016-09-21 00:00:00,2016-12-23 00:00:00,93,6054.699999999999
Bomet,2017,1,2017-03-10 00:00:00,2017-12-17 00:00:00,282,24004.500000000007
Bomet,2018,1,2018-03-15 00:00:00,2018-08-05 00:00:00,143,17951.8
Bomet,2018,2,2018-10-31 00:00:00,2018-12-14 00:00:00,44,0.0
Bomet,2019,1,2018-12-14 00:00:00,2019-03-30 00:00:00,106,244.1
Bomet,2019,2,2019-05-07 00:00:00,2019-08-20 00:00:00,105,2155.0000000000005
Bomet,2019,3,2019-10-22 12:00:00,2020-03-11 12:00:00,141,5670.900000000001
Bomet,2020,1,2020-03-29 00:00:00,2020-07-10 00:00:00,103,3489.3000000000006
Bomet,2020,2,2020-10-22 12:00:00,2021-01-10 12:00:00,80,2090.8
Bomet,2021,1,2021-03-09 00:00:00,2021-06-29 12:00:00,112,8175.9
Bomet,2021,2,2021-09-29 00:00:00,2022-01-10 00:00:00,103,2091.3999999999996
Bomet,2022,1,2022-01-27 12:00:00,2022-06-25 00:00:00,148,20552.6
Bomet,2022,2,2022-09-19 12:00:00,2023-01-17 00:00:00,119,10863.8
Bomet,2023,1,2023-03-20 00:00:00,2023-07-16 00:00:00,118,10300.0
Bomet,2023,2,2023-09-27 12:00:00,2023-11-21 00:00:00,54,0.0
Bomet,2024,1,2023-11-21 00:00:00,2024-08-26 12:00:00,279,4895.200000000001
Bomet,2024,2,2024-10-25 12:00:00,2024-12-18 00:00:00,53,3727.8999999999996
Bungoma,2000,1,2000-04-18 00:00:00,2001-01-13 00:00:00,270,37522.799999999996
Bungoma,2001,1,2001-04-08 12:00:00,2001-12-27 00:00:00,262,57570.899999999994
Bungoma,2002,1,2002-03-31 12:00:00,2002-09-14 00:00:00,166,11213.599999999999
Bungoma,2002,2,2002-10-19 00:00:00,2003-01-24 12:00:00,97,5915.4
Bungoma,2003,1,2003-04-14 00:00:00,2003-12-31 12:00:00,261,57346.99999999999
Bungoma,2004,1,2004-04-03 00:00:00,2005-02-03 00:00:00,306,57540.50000000001
Bungoma,2005,1,2005-04-01 00:00:00,2006-01-07 12:00:00,281,53644.600000000006
Bungoma,2006,1,2006-03-18 00:00:00,2006-10-08 00:00:00,204,33274.100000000006
Bungoma,2006,2,2006-10-26 12:00:00,2007-02-01 00:00:00,97,2576.7
Bungoma,2007,1,2007-05-14 00:00:00,2008-02-01 12:00:00,263,48701.1
Bungoma,2008,1,2008-04-12 00:00:00,2008-12-30 12:00:00,262,69871.59999999999
Bungoma,2009,1,2009-04-18 00:00:00,2009-08-29 00:00:00,133,4813.7
Bungoma,2009,2,2009-09-25 00:00:00,2010-01-16 12:00:00,113,1684.3000000000002
Bungoma,2010,1,2010-05-08 00:00:00,2011-02-27 00:00:00,295,30450.0
Bungoma,2011,1,2011-04-10 00:00:00,2012-01-14 00:00:00,279,88825.69999999998
Bungoma,2012,1,2012-04-23 00:00:00,2013-01-30 12:00:00,282,51363.999999999985
Bungoma,2013,1,2013-04-05 00:00:00,2014-01-11 00:00:00,281,61343.299999999996
Bungoma,2014,1,2014-04-01 00:00:00,2015-01-03 00:00:00,277,54166.899999999994
Bungoma,2015,1,2015-04-17 00:00:00,2015-10-11 00:00:00,177,23314.9
Bungoma,2015,2,2015-10-17 00:00:00,2016-01-24 00:00:00,99,7765.9000000000015
Bungoma,2016,1,2016-04-14 00:00:00,2016-12-13 00:00:00,243,41009.6
Bungoma,2017,1,2017-03-17 00:00:00,2017-12-17 00:00:00,275,72384.0
Bungoma,2018,1,2018-03-26 00:00:00,2019-01-14 12:00:00,294,70915.2
Bungoma,2019,1,2019-04-23 00:00:00,2020-03-05 00:00:00,317,53480.6
Bungoma,2020,1,2020-05-15 00:00:00,2021-02-07 00:00:00,268,82485.2
Bungoma,2021,1,2021-04-11 12:00:00,2021-12-18 12:00:00,251,46832.90000000001
Bungoma,2022,1,2022-04-09 00:00:00,2023-01-09 00:00:00,275,59325.4
Bungoma,2023,1,2023-04-04 00:00:00,2023-08-21 00:00:00,139,17092.399999999998
Bungoma,2023,2,2023-09-25 00:00:00,2024-01-10 00:00:00,107,6900.5
Bungoma,2024,1,2024-05-28 00:00:00,2024-12-10 00:00:00,196,30037.0
Busia,2000,1,2000-04-12 00:00:00,2000-08-20 00:00:00,130,8760.3
Busia,2000,2,2000-10-07 00:00:00,2001-01-25 00:00:00,110,8796.100000000002
Busia,2001,1,2001-04-08 00:00:00,2001-09-14 00:00:00,159,13737.100000000004
Busia,2001,2,2001-10-01 00:00:00,2001-12-27 00:00:00,87,1679.3000000000006
Busia,2002,1,2002-03-21 00:00:00,2002-08-13 00:00:00,145,12239.0
Busia,2002,2,2002-10-10 00:00:00,2003-01-24 00:00:00,106,4932.800000000001
Busia,2003,1,2003-04-05 00:00:00,2003-09-12 00:00:00,160,11968.699999999999
Busia,2003,2,2003-10-20 00:00:00,2004-01-12 00:00:00,84,2537.0
Busia,2004,1,2004-03-29 00:00:00,2004-08-04 00:00:00,128,3786.4
Busia,2004,2,2004-09-28 00:00:00,2005-01-11 00:00:00,105,4793.800000000001
Busia,2005,1,2005-03-20 00:00:00,2005-12-08 12:00:00,263,33202.6
Busia,2006,1,2006-03-09 00:00:00,2006-08-29 00:00:00,173,18022.699999999997
Busia,2006,2,2006-10-16 00:00:00,2007-02-03 00:00:00,110,10686.600000000002
Busia,2007,1,2007-05-28 00:00:00,2007-12-24 00:00:00,210,26967.19999999999
Busia,2008,1,2008-03-29 00:00:00,2008-12-08 00:00:00,254,29317.999999999996
Busia,2009,1,2009-04-05 00:00:00,2009-08-05 00:00:00,122,12354.1
Busia,2009,2,2009-09-23 00:00:00,2010-01-17 00:00:00,116,2727.8000000000006
Busia,2010,1,2010-04-09 12:00:00,2010-08-17 00:00:00,129,1421.1999999999998
Busia,2010,2,2010-09-23 00:00:00,2010-12-31 00:00:00,99,3952.5000000000005
Busia,2011,1,2011-04-03 00:00:00,2012-01-04 00:00:00,276,33598.3
Busia,2012,1,2012-04-17 00:00:00,2013-02-18 00:00:00,307,32672.899999999998
Busia,2013,1,2013-04-02 12:00:00,2013-06-30 00:00:00,88,5603.200000000001
Busia,2013,2,2013-09-24 12:00:00,2014-01-14 12:00:00,112,1627.7000000000007
Busia,2014,1,2014-03-27 00:00:00,2015-01-06 00:00:00,285,38197.19999999998
Busia,2015,1,2015-04-10 00:00:00,2015-09-06 00:00:00,149,21565.300000000003
Busia,2015,2,2015-10-15 00:00:00,2016-01-26 00:00:00,103,7888.200000000001
Busia,2016,1,2016-04-12 00:00:00,2016-08-15 00:00:00,125,9233.500000000002
Busia,2016,2,2016-10-02 00:00:00,2016-12-18 00:00:00,77,2131.4000000000005
Busia,2017,1,2017-03-17 00:00:00,2017-12-20 00:00:00,278,31434.999999999996
Busia,2018,1,2018-03-25 00:00:00,2018-08-29 00:00:00,157,17995.7
Busia,2018,2,2018-10-05 12:00:00,2019-01-09 00:00:00,95,4889.7
Busia,2019,1,2019-04-18 00:00:00,2020-02-18 00:00:00,306,11301.5
Busia,2020,1,2020-04-16 00:00:00,2020-07-07 00:00:00,82,8722.6
Busia,2020,2,2020-09-28 00:00:00,2021-01-18 00:00:00,112,8208.800000000001
Busia,2021,1,2021-04-10 00:00:00,2021-07-18 12:00:00,99,6441.3
Busia,2021,2,2021-09-16 00:00:00,2021-12-21 00:00:00,96,3729.2999999999997
Busia,2022,1,2022-04-08 00:00:00,2022-08-13 00:00:00,127,8338.7
Busia,2022,2,2022-09-28 00:00:00,2023-01-14 00:00:00,108,5403.599999999999
Busia,2023,1,2023-04-01 00:00:00,2023-08-13 00:00:00,134,11566.599999999999
Busia,2023,2,2023-09-28 00:00:00,2024-01-19 12:00:00,113,4694.1
Busia,2024,1,2024-04-18 00:00:00,2024-07-24 00:00:00,97,2701.5000000000005
Busia,2024,2,2024-10-02 00:00:00,2024-12-10 00:00:00,69,5022.700000000001
Elgeyo-Marakwet,2000,1,2000-05-26 00:00:00,2001-01-21 00:00:00,240,12948.000000000004
Elgeyo-Marakwet,2001,1,2001-04-12 00:00:00,2002-01-14 00:00:00,277,42906.700000000004
Elgeyo-Marakwet,2002,1,2002-04-14 00:00:00,2002-09-08 00:00:00,147,8179.500000000003
Elgeyo-Marakwet,2002,2,2002-10-21 12:00:00,2003-01-30 12:00:00,101,1540.5000000000005
Elgeyo-Marakwet,2003,1,2003-04-22 00:00:00,2003-10-06 00:00:00,167,14471.500000000002
Elgeyo-Marakwet,2003,3,2003-11-27 00:00:00,2004-01-30 00:00:00,64,273.19999999999993
Elgeyo-Marakwet,2004,1,2004-04-14 00:00:00,2004-12-31 00:00:00,261,16042.8
Elgeyo-Marakwet,2005,1,2005-03-29 00:00:00,2005-11-16 00:00:00,232,22770.500000000004
Elgeyo-Marakwet,2006,1,2006-04-01 12:00:00,2007-03-01 12:00:00,334,32583.000000000007
Elgeyo-Marakwet,2007,1,2007-05-01 12:00:00,2008-01-04 00:00:00,247,41261.80000000001
Elgeyo-Marakwet,2008,1,2008-04-12 00:00:00,2008-12-27 00:00:00,259,30943.300000000003
Elgeyo-Marakwet,2009,1,2009-04-18 00:00:00,2009-09-05 00:00:00,140,4867.000000000002
Elgeyo-Marakwet,2009,2,2009-11-03 00:00:00,2010-01-19 12:00:00,77,0.0
Elgeyo-Marakwet,2010,1,2010-01-19 12:00:00,2011-01-15 00:00:00,360,60544.999999999985
Elgeyo-Marakwet,2011,1,2011-04-25 00:00:00,2012-01-14 00:00:00,264,37893.6
Elgeyo-Marakwet,2012,1,2012-04-25 00:00:00,2013-02-14 12:00:00,295,35013.200000000004
Elgeyo-Marakwet,2013,1,2013-03-30 00:00:00,2014-01-16 12:00:00,292,50698.999999999985
Elgeyo-Marakwet,2014,1,2014-04-22 00:00:00,2015-01-09 00:00:00,262,24946.7
Elgeyo-Marakwet,2015,1,2015-04-18 00:00:00,2015-09-30 00:00:00,165,9132.0
Elgeyo-Marakwet,2015,2,2015-11-04 00:00:00,2016-01-31 00:00:00,88,4047.0
Elgeyo-Marakwet,2016,1,2016-05-02 00:00:00,2016-12-27 00:00:00,239,21552.600000000006
Elgeyo-Marakwet,2017,1,2017-04-28 00:00:00,2018-01-02 00:00:00,249,40344.2
Elgeyo-Marakwet,2018,1,2018-03-22 00:00:00,2019-01-24 00:00:00,308,57314.99999999997
Elgeyo-Marakwet,2019,1,2019-05-14 12:00:00,2020-03-29 00:00:00,319,35760.09999999999
Elgeyo-Marakwet,2020,1,2020-06-04 00:00:00,2020-12-21 00:00:00,200,12690.699999999997
Elgeyo-Marakwet,2021,1,2021-04-20 00:00:00,2021-12-25 00:00:00,249,21616.0
Elgeyo-Marakwet,2022,1,2022-04-27 12:00:00,2023-01-05 00:00:00,252,29881.4
Elgeyo-Marakwet,2023,1,2023-03-26 12:00:00,2024-01-28 00:00:00,307,9421.699999999999
Elgeyo-Marakwet,2024,2,2024-03-31 00:00:00,2024-12-03 00:00:00,247,15459.300000000001
Embu,2000,1,2000-03-29 00:00:00,2000-06-05 00:00:00,68,1281.6999999999996
Embu,2000,2,2000-11-14 00:00:00,2001-02-05 12:00:00,83,4653.4
Embu,2001,1,2001-03-20 00:00:00,2001-06-24 00:00:00,96,5626.6
Embu,2001,2,2001-10-29 12:00:00,2002-02-08 12:00:00,102,5279.800000000001
Embu,2002,1,2002-03-16 00:00:00,2002-07-05 00:00:00,111,11942.000000000002
Embu,2002,2,2002-10-30 00:00:00,2003-01-27 00:00:00,89,8240.000000000002
Embu,2003,1,2003-04-13 00:00:00,2003-07-15 00:00:00,93,4781.900000000002
Embu,2003,2,2003-10-27 12:00:00,2004-03-05 00:00:00,129,6200.199999999999
Embu,2004,1,2004-04-11 00:00:00,2004-07-03 00:00:00,83,1488.8999999999999
Embu,2004,2,2004-10-28 00:00:00,2005-02-01 00:00:00,96,5508.299999999999
Embu,2005,1,2005-04-12 00:00:00,2005-07-13 00:00:00,92,4868.699999999999
Embu,2005,2,2005-11-01 00:00:00,2006-01-18 00:00:00,78,2737.1999999999994
Embu,2006,1,2006-03-18 00:00:00,2006-06-22 00:00:00,96,3698.0000000000014
Embu,2006,2,2006-10-25 00:00:00,2007-03-06 00:00:00,132,13328.300000000005
Embu,2007,1,2007-04-10 00:00:00,2007-07-08 00:00:00,89,2674.5999999999995
Embu,2007,2,2007-10-23 00:00:00,2008-02-08 12:00:00,108,4184.500000000001
Embu,2008,1,2008-04-05 12:00:00,2008-07-03 12:00:00,89,2858.100000000001
Embu,2008,3,2008-10-11 00:00:00,2009-01-19 00:00:00,100,6690.1
Embu,2009,1,2009-04-14 00:00:00,2009-07-01 00:00:00,78,1383.1
Embu,2009,2,2009-10-17 00:00:00,2010-02-02 00:00:00,108,3026.1000000000004
Embu,2010,1,2010-02-26 00:00:00,2010-07-03 00:00:00,127,10270.000000000004
Embu,2010,2,2010-10-21 00:00:00,2011-01-01 12:00:00,72,2553.7
Embu,2011,1,2011-03-31 00:00:00,2011-06-23 00:00:00,84,2632.5999999999995
Embu,2011,2,2011-10-22 00:00:00,2012-01-12 00:00:00,82,8926.000000000002
Embu,2012,1,2012-04-10 12:00:00,2012-06-18 00:00:00,68,8153.500000000001
Embu,2012,2,2012-11-01 00:00:00,2013-02-11 12:00:00,102,5906.600000000001
Embu,2013,1,2013-03-31 00:00:00,2013-06-27 00:00:00,88,5095.400000000001
Embu,2013,3,2013-10-23 00:00:00,2014-02-06 00:00:00,106,6247.699999999999
Embu,2014,1,2014-03-15 00:00:00,2014-06-10 00:00:00,87,4304.9
Embu,2014,2,2014-11-04 00:00:00,2015-02-20 00:00:00,108,10647.999999999998
Embu,2015,1,2015-04-01 00:00:00,2015-06-28 00:00:00,88,4146.500000000001
Embu,2015,2,2015-10-25 00:00:00,2016-03-05 00:00:00,132,10972.100000000002
Embu,2016,1,2016-04-19 00:00:00,2016-07-13 00:00:00,85,2016.7999999999997
Embu,2016,3,2016-11-03 00:00:00,2017-01-19 00:00:00,77,8821.800000000001
Embu,2017,1,2017-04-02 00:00:00,2017-06-30 00:00:00,89,3580.600000000001
Embu,2017,2,2017-10-24 00:00:00,2018-01-18 00:00:00,86,12189.400000000001
Embu,2018,1,2018-03-15 00:00:00,2018-07-05 00:00:00,112,9833.2
Embu,2018,2,2018-11-11 00:00:00,2019-01-24 00:00:00,74,3241.5
Embu,2019,1,2019-04-12 12:00:00,2019-07-06 12:00:00,85,4604.9
Embu,2020,2,2020-10-25 00:00:00,2021-02-12 00:00:00,110,9810.300000000003
Embu,2021,1,2021-04-08 00:00:00,2021-07-07 12:00:00,90,4918.5
Embu,2021,2,2021-11-06 00:00:00,2022-02-16 00:00:00,102,5373.400000000001
Embu,2022,1,2022-03-28 00:00:00,2022-06-18 00:00:00,82,6031.4
Embu,2022,2,2022-10-31 00:00:00,2023-01-10 00:00:00,71,5395.899999999999
Embu,2023,1,2023-03-27 00:00:00,2023-06-22 00:00:00,87,5232.899999999999
Embu,2023,2,2023-10-25 12:00:00,2024-02-23 12:00:00,121,7588.100000000001
Embu,2024,1,2024-03-27 12:00:00,2024-07-18 00:00:00,112,14103.300000000005
Embu,2024,3,2024-09-11 00:00:00,2024-12-18 00:00:00,98,14168.6
Garissa,2000,1,2000-03-27 00:00:00,2000-06-08 00:00:00,73,19260.9
Garissa,2000,2,2000-10-03 00:00:00,2001-01-19 00:00:00,108,76615.19999999998
Garissa,2001,1,2001-03-26 00:00:00,2001-06-26 00:00:00,92,19775.699999999997
Garissa,2001,2,2001-11-07 00:00:00,2002-01-10 00:00:00,64,32967.899999999994
Garissa,2002,1,2002-04-07 00:00:00,2002-06-18 00:00:00,72,42715.3
Garissa,2002,2,2002-10-27 00:00:00,2003-01-08 00:00:00,73,69186.29999999999
Garissa,2003,1,2003-04-14 00:00:00,2003-07-02 00:00:00,79,40088.2
Garissa,2003,2,2003-10-27 00:00:00,2004-01-09 00:00:00,74,58128.09999999999
Garissa,2004,1,2004-04-17 00:00:00,2004-08-05 00:00:00,110,5618.799999999999
Garissa,2004,2,2004-10-31 00:00:00,2005-01-07 00:00:00,68,72184.09999999999
Garissa,2005,1,2005-04-11 00:00:00,2005-07-29 00:00:00,109,22719.299999999996
Garissa,2005,2,2005-11-06 00:00:00,2006-01-04 00:00:00,59,14464.6
Garissa,2006,1,2006-04-09 00:00:00,2006-08-13 00:00:00,126,13018.400000000003
Garissa,2006,2,2006-10-26 00:00:00,2007-01-28 00:00:00,94,207238.60000000003
Garissa,2007,1,2007-04-22 00:00:00,2007-07-09 00:00:00,78,22244.300000000003
Garissa,2007,2,2007-10-10 00:00:00,2008-02-04 00:00:00,117,123196.79999999999
Garissa,2008,1,2008-03-30 00:00:00,2008-06-10 00:00:00,72,24766.8
Garissa,2008,2,2008-10-28 00:00:00,2009-01-21 00:00:00,85,94793.39999999998
Garissa,2009,1,2009-04-10 00:00:00,2009-07-02 00:00:00,83,8876.3
Garissa,2009,2,2009-10-19 00:00:00,2010-01-21 00:00:00,94,92682.69999999998
Garissa,2010,1,2010-03-15 00:00:00,2010-06-01 00:00:00,78,32467.899999999994
Garissa,2010,3,2010-10-23 00:00:00,2011-01-03 00:00:00,72,36942.399999999994
Garissa,2011,1,2011-04-15 00:00:00,2011-08-02 12:00:00,109,12282.9
Garissa,2011,3,2011-10-14 00:00:00,2012-02-14 00:00:00,123,335823.0
Garissa,2012,1,2012-10-17 00:00:00,2013-01-24 00:00:00,99,121989.5
Garissa,2013,1,2013-03-21 00:00:00,2013-06-05 00:00:00,76,49426.3
Garissa,2013,2,2013-11-06 00:00:00,2014-01-16 00:00:00,71,46186.0
Garissa,2014,1,2014-03-24 00:00:00,2014-06-05 00:00:00,73,13323.099999999999
Garissa,2014,2,2014-10-30 00:00:00,2015-02-05 12:00:00,98,91467.69999999998
Garissa,2015,1,2015-03-27 00:00:00,2015-06-11 00:00:00,76,34714.5
Garissa,2015,2,2015-11-05 00:00:00,2016-01-12 00:00:00,68,66815.5
Garissa,2016,1,2016-04-11 00:00:00,2016-06-21 00:00:00,71,16214.799999999997
Garissa,2016,2,2016-11-11 00:00:00,2017-01-11 00:00:00,61,31595.29999999999
Garissa,2017,1,2017-04-12 00:00:00,2017-06-29 00:00:00,78,13201.099999999999
Garissa,2017,2,2017-10-21 00:00:00,2017-12-27 00:00:00,67,71145.79999999999
Garissa,2018,1,2018-03-27 00:00:00,2018-06-24 00:00:00,89,75926.3
Garissa,2018,2,2018-10-26 00:00:00,2019-01-08 00:00:00,74,23535.999999999996
Garissa,2019,1,2019-05-02 00:00:00,2019-08-29 00:00:00,119,6190.9
Garissa,2019,2,2019-10-11 00:00:00,2020-02-06 00:00:00,118,173956.50000000003
Garissa,2020,1,2020-04-02 00:00:00,2020-06-17 00:00:00,76,42267.399999999994
Garissa,2020,2,2020-10-24 00:00:00,2021-01-02 00:00:00,70,43140.59999999999
Garissa,2021,1,2021-03-30 00:00:00,2021-06-18 00:00:00,80,21124.199999999997
Garissa,2021,2,2021-11-25 00:00:00,2022-01-21 00:00:00,57,45152.5
Garissa,2022,1,2022-04-06 00:00:00,2022-06-07 00:00:00,62,6801.200000000002
Garissa,2022,2,2022-11-01 00:00:00,2023-01-09 00:00:00,69,50501.399999999994
Garissa,2023,1,2023-04-02 00:00:00,2023-06-13 00:00:00,72,47436.299999999996
Garissa,2023,2,2023-11-02 00:00:00,2024-01-26 00:00:00,85,108474.8
Garissa,2024,1,2024-03-29 00:00:00,2024-06-03 00:00:00,66,56861.399999999994
Garissa,2024,3,2024-10-27 00:00:00,2024-12-17 00:00:00,51,138804.30000000002
Homa Bay,2000,1,2000-04-06 00:00:00,2000-06-30 12:00:00,85,7522.700000000002
Homa Bay,2000,2,2000-10-12 00:00:00,2001-02-03 00:00:00,114,9569.099999999999
Homa Bay,2001,1,2001-04-11 00:00:00,2001-07-10 00:00:00,90,7239.299999999999
Homa Bay,2001,2,2001-10-06 00:00:00,2002-02-05 00:00:00,122,15900.800000000003
Homa Bay,2002,1,2002-03-29 00:00:00,2002-06-26 00:00:00,89,13136.0
Homa Bay,2002,2,2002-10-17 00:00:00,2003-02-08 00:00:00,114,18901.300000000003
Homa Bay,2003,1,2003-04-07 00:00:00,2003-08-24 00:00:00,139,14252.000000000004
Homa Bay,2003,2,2003-10-20 00:00:00,2004-02-06 00:00:00,109,10705.7
Homa Bay,2004,1,2004-03-26 12:00:00,2004-06-20 00:00:00,85,5964.000000000002
Homa Bay,2004,2,2004-10-08 00:00:00,2005-01-16 00:00:00,100,8750.800000000001
Homa Bay,2005,1,2005-03-27 00:00:00,2005-07-17 00:00:00,112,14380.100000000002
Homa Bay,2005,2,2005-10-03 00:00:00,2005-12-11 00:00:00,69,3173.9999999999995
Homa Bay,2006,1,2006-03-14 00:00:00,2006-07-19 12:00:00,127,23115.600000000002
Homa Bay,2006,2,2006-10-24 00:00:00,2007-03-02 00:00:00,129,17749.100000000002
Homa Bay,2007,1,2007-04-28 00:00:00,2007-09-18 12:00:00,143,8070.700000000001
Homa Bay,2007,2,2007-10-16 00:00:00,2008-01-09 00:00:00,85,3895.0
Homa Bay,2008,1,2008-03-31 00:00:00,2008-08-12 00:00:00,134,17296.600000000002
Homa Bay,2008,2,2008-09-17 00:00:00,2008-12-16 00:00:00,90,6006.6
Homa Bay,2009,1,2009-04-06 00:00:00,2009-07-05 00:00:00,90,10111.900000000001
Homa Bay,2009,2,2009-09-30 12:00:00,2010-01-25 12:00:00,117,993.9
Homa Bay,2010,1,2010-03-02 12:00:00,2010-07-17 00:00:00,136,17103.6
